RANK,PITCHER,IP,PPERA,PPK_pct,PPSTUFF_plus,PPLOCATION_plus,PPPITCHING_plus,INJURY_pct,NFBC_adp,league,team,spring_stuff
22,Carlos Rodon,154,2.89,0.326,114,103,106,89.7,75,AL,NYY,#N/A
23,Framber Valdez,195,3.44,0.25,110,97,99,8.1,74,AL,HOU,135.3
24,Luis Severino,146,3.44,0.276,108,102,104,99.6,102,AL,NYY,111.9
25,Logan Webb,186,3.33,0.233,105,103,104,11.3,113,NL,SFG,104
26,Max Fried,186,3.62,0.227,96,101,102,12,64,NL,ATL,89.6
27,Logan Gilbert,181,3.57,0.245,102,100,103,7.4,109,AL,SEA,#N/A
28,George Kirby,170,3.42,0.239,99,106,104,44.8,95,AL,SEA,#N/A
29,Drew Rasmussen,160,3.28,0.246,106,104,107,52.6,143,AL,TBR,119.9
30,Alek Manoah,199,3.63,0.246,100,99,100,3.8,66,AL,TOR,86.8
31,Robbie Ray,190,3.58,0.276,95,101,100,6.3,85,AL,SEA,#N/A
32,Joe Musgrove,165,3.35,0.256,103,101,103,15.5,89,NL,SDP,#N/A
33,Clayton Kershaw,144,3.36,0.271,106,103,106,89.3,114,NL,LAD,#N/A
34,Hunter Greene,156,3.71,0.313,128,100,106,78,100,NL,CIN,116.2
35,Nestor Cortes,157,3.47,0.27,107,102,103,24.3,127,AL,NYY,103
36,Jeffrey Springs,156,3.55,0.262,93,104,104,68.9,138,AL,TBR,99.5
37,Chris Sale,140,3.73,0.255,103,102,101,99.2,115,AL,BOS,96.8
38,Dustin May,130,3.61,0.268,104,100,104,91.5,149,NL,LAD,#N/A
39,Kodai Senga,156,3.72,#N/A,#N/A,#N/A,#N/A,#N/A,173,NL,NYM,110.9
40,Charlie Morton,149,3.75,0.265,102,100,103,92.2,151,NL,ATL,104.5
41,Luis Garcia,174,3.76,0.256,103,100,100,11.6,154,AL,HOU,105.8
42,Joe Ryan,175,3.87,0.257,98,103,100,23.3,131,AL,MIN,100.1
43,Lance Lynn,175,3.78,0.242,99,103,101,86.5,125,AL,CHW,107.4
44,Triston McKenzie,191,3.8,0.271,109,101,103,5.3,86,AL,CLE,#N/A
45,Jordan Montgomery,172,3.47,0.225,100,103,100,61.1,164,NL,STL,96.6
46,Kyle Wright,181,3.91,0.227,103,98,99,14.4,153,NL,ATL,#N/A
47,Grayson Rodriguez,125,3.05,0.289,114,100,102,#N/A,182,AL,BAL,119.6
48,Tyler Glasnow,125,2.19,0.371,139,102,110,97.8,157,AL,TBR,#N/A
49,Nathan Eovaldi,145,3.39,0.252,108,106,109,94.3,225,AL,TEX,#N/A
50,Freddy Peralta,128,3.41,0.291,107,99,103,74.9,139,NL,MIL,#N/A
51,Pablo Lopez,161,3.77,0.233,96,104,102,66.4,159,NL,MIA,103.6
52,Jon Gray,172,3.65,0.247,100,101,100,84.8,198,AL,TEX,97.3
53,Alex Cobb,155,3.54,0.227,94,102,101,94.3,204,NL,SFG,#N/A
54,Tyler Mahle,145,3.62,0.247,100,104,104,27.9,240,AL,MIN,96.4
55,Jameson Taillon,170,3.91,0.227,100,105,105,87.6,237,NL,CHC,#N/A
56,Trevor Rogers,169,3.7,0.247,101,101,102,31.8,233,NL,MIA,98.4
57,Chris Bassitt,176,3.87,0.221,98,102,101,79.8,162,AL,TOR,84.4
58,Hunter Brown,137,3.3,0.272,112,100,100,53.3,198,AL,HOU,103.3
59,Clarke Schmidt,135,3.6,0.259,113,100,104,#N/A,274,AL,NYY,111.1
60,Reid Detmers,155,4.54,0.249,97,97,97,33.2,159,AL,LAA,#N/A
61,Kyle Bradish,159,3.64,0.241,108,98,101,61.4,297,AL,BAL,115.3
