"","player_name","fangraphs_id","Team","ShortName","W","L","GS","G","SV","HLD","BS","IP","TBF","H","R","ER","HR","SO","BB","IBB","HBP","ERA","WHIP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","GB%","AVG","BABIP","LOB%","FIP","WAR","RA9-WAR","InterSD","InterSK","IntraSD","QS","ADP","teamid","League","playerids","."
"239","Matt Strahm","13799","PHI","Phillies",6,5,0,70,2,12,NA,70,284,60,33,31,10,78,19,NA,3,3.92338,1.13606,9.98679,2.4967,4,1.30779,0.273616,0.0684039,0.205211721360683,NA,0.229682,0.287234,0.708215,3.87591,0.534726,0.45385,NA,NA,NA,NA,494.329986572266,26,"NL","13799",""
"240","Javier Assad","21741","CHC","Cubs",4,4,10,50,0,1,NA,97,426,97,50,47,13,78,38,NA,6,4.33071,1.39108,7.16535,3.54331,2.02222,1.1811,0.182,0.09,0.0920000001788139,NA,0.254464,0.289474,0.724638,4.73361,0.533166,0.693517,NA,NA,NA,NA,532.599975585938,17,"NL","21741",""
"241","Brooks Raley","10061","NYM","Mets",1,3,0,64,1,15,NA,64,282,58,34,31,7,71,28,NA,6,4.4,1.35556,10,4,2.5,1,0.252525,0.10101,0.151515170931816,NA,0.235632,0.302521,0.685185,4.07726,0.525587,-0.0292339,NA,NA,NA,NA,731.489990234375,25,"NL","10061",""
"242","Jackson Rutledge","26215","WSN","Nationals",4,5,15,23,0,1,NA,76,343,81,48,45,11,55,31,NA,7,5.25,1.46296,6.41667,3.66667,1.75,1.25,0.158763,0.0907217,0.0680412501096725,NA,0.264501,0.292035,0.656934,5.13467,0.523651,0.159119,NA,NA,NA,NA,750.950012207031,24,"NL","26215",""
"243","Jared Shuster","27472","CHW","White Sox",3,4,11,11,0,0,NA,57,250,59,35,32,8,44,23,NA,0,5.08997,1.44816,6.86375,3.7018,1.85417,1.31105,0.174168,0.0939335,0.0802348405122757,NA,0.261905,0.292135,0.674931,4.88315,0.520603,0.205927,NA,NA,NA,NA,742.409973144531,4,"AL","27472",""
"244","Emilio Pagán","14771","CIN","Reds",4,5,0,66,2,12,NA,66,274,61,36,34,12,67,22,NA,1,4.63588,1.2611,9.1119,3.0373,3,1.59858,0.24359,0.0811966,0.162393160164356,NA,0.242991,0.285714,0.701754,4.60495,0.514189,0.325813,NA,NA,NA,NA,661.640014648438,18,"NL","14771",""
"245","Will Smith","8048","KCR","Royals",4,5,0,64,13,8,NA,64,265,58,32,30,9,64,21,NA,2,4.17795,1.23791,9.05223,2.95938,3.05882,1.21857,0.242991,0.0794393,0.163551405072212,NA,0.241026,0.294118,0.701107,4.1061,0.511124,0.567256,NA,NA,NA,NA,267.850006103516,7,"AL","8048",""
"246","Seranthony Domínguez","19249","PHI","Phillies",7,6,0,63,3,13,NA,63,267,55,32,29,8,71,30,NA,1,4.15385,1.34615,10.2115,4.32692,2.36,1.21154,0.268182,0.113636,0.154545463621616,NA,0.231959,0.296875,0.730897,4.23581,0.510811,0.359999,NA,NA,NA,NA,601.010009765625,26,"NL","19249",""
"247","Cade Cavalli","27473","WSN","Nationals",3,3,6,20,0,1,NA,45,199,41,24,22,4,45,22,NA,3,4.40636,1.39535,8.92289,4.29621,2.07692,0.881273,0.224377,0.108033,0.11634349822998,NA,0.237342,0.295154,0.690661,4.19751,0.510125,0.442864,NA,NA,NA,NA,660.469970703125,24,"NL","27473",""
"248","Ken Waldichuk","27681","OAK","Athletics",2,3,8,22,0,1,NA,58,255,54,30,28,7,58,26,NA,4,4.32763,1.37734,9.02201,4.03423,2.23636,1.02689,0.228625,0.10223,0.126394055783749,NA,0.240506,0.296736,0.702811,4.29823,0.504644,0.413999,NA,NA,NA,NA,750.780029296875,10,"AL","27681",""
