"","player_name","fangraphs_id","Team","ShortName","W","L","GS","G","SV","HLD","BS","IP","TBF","H","R","ER","HR","SO","BB","IBB","HBP","ERA","WHIP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","GB%","AVG","BABIP","LOB%","FIP","WAR","RA9-WAR","InterSD","InterSK","IntraSD","QS","ADP","teamid","League","playerids","."
"67","Kyle Gibson","10123","STL","Cardinals",10.7659,10.6095,30.78,30.78,0,0,NA,178.352,772.087,186.674,92.8888,85.5748,23.3443,140.243,57.7668,NA,7.9054,4.31827,1.37055,7.07696,2.91503,2.42775,1.178,0.181642,0.074819,0.106823071837425,0.47748,0.264256,0.300887,0.715682,4.48859,2.02772,2.16757,NA,NA,NA,14.3794,449.119995117188,28,"NL","10123",""
"68","Charlie Morton","4676","ATL","Braves",10.7127,8.1578,27.54,27.54,0,0,NA,156.202,676.198,145.094,78.4348,72.782,19.9591,167.786,64.1354,NA,10.713,4.19354,1.33948,9.66749,3.69534,2.61613,1.15,0.248132,0.0948471,0.153284996747971,0.432745,0.241281,0.302548,0.72148,4.20536,1.99749,2.36579,NA,NA,NA,12.6949,225.960006713867,16,"NL","4676",""
"69","Max Scherzer","3137","TEX","Rangers",7.2221,6.2551,19.44,19.44,0,0,NA,112.607,471.751,102.335,54.2357,50.9977,18.5926,125.173,29.9019,NA,5.0921,4.07594,1.17432,10.0044,2.38988,4.18614,1.486,0.265338,0.0633849,0.201952934265137,0.329202,0.234306,0.285819,0.734425,4.11058,1.98769,1.94411,NA,NA,NA,9.5942,305.369995117188,13,"AL","3137",""
"70","Eury Pérez","27768","MIA","Marlins",7.546,7.7067,22.68,22.68,0,0,NA,122.754,520.584,109.608,59.678,55.8984,17.8266,136.16,42.5562,NA,5.1783,4.09833,1.23959,9.9829,3.12011,3.19953,1.307,0.261552,0.081747,0.179805174469948,0.34434,0.231803,0.287839,0.727052,4.0911,1.97818,2.03267,NA,NA,NA,9.7355,110.949996948242,20,"NL","27768",""
"71","Sean Manaea","15873","NYM","Mets",9.116,8.5984,25.92,25.92,0,0,NA,145.44,617.58,135.747,70.5964,65.6222,21.3474,147.729,48.0631,NA,6.2728,4.06078,1.26382,9.14163,2.9742,3.07364,1.321,0.239206,0.0778249,0.161381050944328,0.402745,0.241008,0.290229,0.735517,4.25247,1.93827,1.8522,NA,NA,NA,12.0706,322.440002441406,25,"NL","15873",""
"72","Miles Mikolas","9803","STL","Cardinals",10.5766,11.1198,30.78,30.78,0,0,NA,183.575,783.503,199.108,99.3386,92.4913,28.4541,130.467,41.0054,NA,7.379,4.53451,1.30799,6.39634,2.01035,3.18171,1.395,0.166518,0.052336,0.114181943237782,0.417294,0.270852,0.296173,0.702898,4.63934,1.93459,1.95194,NA,NA,NA,14.4966,411.640014648438,28,"NL","9803",""
"73","Graham Ashcraft","27552","CIN","Reds",8.6592,10.6163,27.54,27.54,0,0,NA,161.286,707.086,174.907,92.6685,85.8577,23.6016,125.272,57.3072,NA,8.8845,4.79098,1.43976,6.99037,3.19782,2.18598,1.317,0.177167,0.081047,0.0961199924349785,0.500497,0.272911,0.307519,0.700629,4.83516,1.91609,1.76474,NA,NA,NA,11.7116,405.859985351562,18,"NL","27552",""
"74","Tanner Houck","19879","BOS","Red Sox",9.0735,9.1041,25.92,33.92,0,0.6322,NA,147.672,638.005,148.644,76.6573,70.7396,17.1135,135.398,53.8719,NA,8.236,4.3113,1.37139,8.252,3.28328,2.51334,1.043,0.212222,0.084438,0.127783499658108,0.493282,0.258109,0.310664,0.704865,4.18956,1.91464,2.18205,NA,NA,NA,10.3081,373.489990234375,3,"AL","19879",""
"75","Aaron Civale","19479","TBR","Rays",9.0096,8.8455,25.92,25.92,0,0,NA,147.71,628.018,144.096,73.5736,68.3891,21.1553,140.883,41.1214,NA,7.0011,4.16697,1.25393,8.58405,2.50554,3.42603,1.289,0.22433,0.0654781,0.158851802349091,0.410328,0.248486,0.294217,0.717506,4.18673,1.88896,1.71152,NA,NA,NA,12.1369,194.639999389648,12,"AL","19479",""
"76","Shane Baz","22264","TBR","Rays",7.6193,6.4164,19.44,27.44,0,0.6214,NA,116.79,485.729,102.87,52.0175,48.1203,14.8713,127.97,35.3963,NA,5.4523,3.70822,1.18389,9.86152,2.72769,3.61534,1.146,0.263459,0.0728725,0.190586529672146,0.422338,0.23123,0.291348,0.734366,3.76821,1.8705,1.95564,NA,NA,NA,9.6754,277.640014648438,12,"AL","22264",""
"77","Jordan Hicks","19618","SFG","Giants",8.9186,8.2564,21.06,51.06,0,0.6168,NA,145.432,623.975,127.296,65.0014,59.138,12.394,157.882,70.8065,NA,7.4534,3.65973,1.36217,9.77046,4.38184,2.22976,0.767,0.253026,0.113477,0.139549344778061,0.524995,0.233264,0.306046,0.736378,3.80608,1.86915,2.22312,NA,NA,NA,10.002,322.200012207031,30,"NL","19618",""
"78","James Paxton","11828","LAD","Dodgers",8.5017,7.0752,21.06,35.06,0,0.6545,NA,129.28,547.106,119.46,63.7437,59.5374,20.3113,137.793,43.7981,NA,4.7707,4.14478,1.26283,9.59268,3.04907,3.1461,1.414,0.251859,0.0800541,0.171804368495941,0.389109,0.239622,0.291244,0.738116,4.29284,1.84907,1.67401,NA,NA,NA,8.967,301.779998779297,22,"NL","11828",""
"79","Nestor Cortes","17874","NYY","Yankees",9.1817,7.9747,24.3,30.3,0,0.6497,NA,141.952,602.453,130.718,70.075,65.8473,23.8479,146.872,44.0315,NA,5.1533,4.17483,1.23105,9.31195,2.79167,3.33562,1.512,0.24379,0.073087,0.170703254640102,0.317948,0.236265,0.279363,0.740469,4.40919,1.84369,1.76394,NA,NA,NA,10.8634,228.270004272461,9,"AL","17874",""
"80","Tanner Bibee","30134","CLE","Guardians",9.5146,9.8533,27.54,27.54,0,0,NA,163.545,693.576,155.111,82.156,76.6914,25.0406,159.09,51.1928,NA,6.4482,4.22038,1.26145,8.75485,2.81717,3.10767,1.378,0.229377,0.0738099,0.155567079782486,0.380064,0.24391,0.287891,0.724963,4.3573,1.80564,2.02827,NA,NA,NA,13.8074,103.639999389648,5,"AL","30134",""
"81","Cristopher Sánchez","20778","PHI","Phillies",8.0461,7.578,21.06,34.06,0,0.5717,NA,130.404,559.333,129.984,63.9933,58.5466,15.0689,110.49,46.475,NA,6.1068,4.04068,1.35317,7.62565,3.20754,2.37742,1.04,0.19754,0.08309,0.11444953083992,0.51662,0.256504,0.301462,0.723891,4.27234,1.79613,2.0326,NA,NA,NA,9.5864,215.979995727539,26,"NL","20778",""
"82","Brandon Pfaadt","27782","ARI","Diamondbacks",9.3302,9.5248,27.54,27.54,0,0,NA,154.794,653.966,152.648,80.6046,75.5997,24.1478,140.993,41.9349,NA,7.1008,4.39551,1.25705,8.1976,2.43817,3.36219,1.404,0.215597,0.064124,0.151473015546799,0.365976,0.25234,0.292186,0.708926,4.41169,1.78524,2.05485,NA,NA,NA,11.854,204.300003051758,15,"NL","27782",""
"83","Trevor Rogers","22286","MIA","Marlins",7.9196,8.0874,22.68,30.68,0,0.6211,NA,130.214,553.588,122.211,63.0634,58.5499,16.4215,130.684,46.2353,NA,6.0524,4.04678,1.29361,9.03244,3.19564,2.82649,1.135,0.236067,0.0835193,0.15254719555378,0.411166,0.243788,0.298676,0.724499,4.09193,1.7783,2.1025,NA,NA,NA,9.6687,325.630004882812,20,"NL","22286",""
"84","Walker Buehler","19374","LAD","Dodgers",8.3469,7.3348,22.68,22.68,0,0,NA,130.611,558.164,130.097,67.8617,63.2393,19.9544,122.484,39.3813,NA,4.8678,4.35764,1.29758,8.44003,2.71365,3.11021,1.375,0.219441,0.0705551,0.148885980248451,0.411706,0.253148,0.296499,0.717924,4.38195,1.7731,1.54836,NA,NA,NA,10.3661,183.720001220703,22,"NL","19374",""
"85","Chris Paddack","20099","MIN","Twins",7.8268,8.3844,22.68,30.68,0,0.5991,NA,133.568,566.632,136.934,69.4684,64.8257,19.9164,115.982,33.5353,NA,4.8294,4.36805,1.27628,7.81503,2.25966,3.4585,1.342,0.204686,0.0591836,0.145502708852291,0.401647,0.259213,0.298233,0.708349,4.3185,1.77086,1.47248,NA,NA,NA,9.4252,307.649993896484,8,"AL","20099",""
"86","Gerrit Cole","13125","NYY","Yankees",6.6228,4.7853,16.2,16.2,0,0,NA,97.3092,403.773,86.2105,43.3347,40.2116,14.099,109.102,25.9246,NA,3.1809,3.71912,1.15236,10.0907,2.39773,4.20844,1.304,0.270207,0.0642059,0.206000901758671,0.399364,0.230099,0.286764,0.744622,3.79352,1.73659,1.76402,NA,NA,NA,9.1952,66.3300018310547,9,"AL","13125",""
"87","Kyle Harrison","27758","SFG","Giants",9.3899,9.689,27.54,27.54,0,0,NA,158.598,688.059,139.294,77.5651,72.1799,20.882,175.522,72.5813,NA,9.6927,4.09602,1.33593,9.9604,4.1188,2.41828,1.185,0.255097,0.105487,0.149610005319118,0.378711,0.229939,0.289245,0.73538,4.30956,1.73395,2.09479,NA,NA,NA,13.3798,239.259994506836,30,"NL","27758",""
"88","Andrew Abbott","29911","CIN","Reds",6.5306,6.6763,19.44,19.44,0,0,NA,107.502,459.214,98.651,55.6517,52.2826,18.0125,117.614,42.6747,NA,3.9612,4.37707,1.31463,9.84656,3.5727,2.75605,1.508,0.25612,0.0929299,0.163189932703972,0.358416,0.239109,0.291164,0.737881,4.54658,1.71942,1.79496,NA,NA,NA,8.12,292.649993896484,18,"NL","29911",""
"89","Reese Olson","24968","DET","Tigers",7.8928,8.6026,24.3,24.3,0,0,NA,133.932,575.558,128.984,67.6354,62.6878,17.188,127.294,50.0983,NA,5.1685,4.2125,1.33711,8.55391,3.36651,2.54088,1.155,0.221166,0.087043,0.134123064577579,0.428672,0.247907,0.29748,0.718923,4.26045,1.67934,1.78016,NA,NA,NA,10.5176,291.829986572266,6,"AL","24968",""
"90","Jose Quintana","11423","NYM","Mets",10.1167,10.2586,29.16,29.16,0,0,NA,170.99,742.465,173.276,87.0913,80.4102,22.4947,144.02,60.2882,NA,5.5343,4.23237,1.36595,7.58047,3.17325,2.38887,1.184,0.193976,0.0812001,0.112775944173336,0.438544,0.256082,0.295576,0.724856,4.43556,1.65647,1.84259,NA,NA,NA,14.2274,395.929992675781,25,"NL","11423",""
"91","Kutter Crawford","20531","BOS","Red Sox",8.7732,9.7575,25.92,36.92,0,0.6322,NA,151.294,649.767,151.417,83.7275,78.8948,25.0139,142.759,48.279,NA,6.0824,4.69321,1.31992,8.49227,2.87197,2.95695,1.488,0.219707,0.074302,0.145405352115631,0.348954,0.254309,0.295588,0.70422,4.59513,1.64635,1.67551,NA,NA,NA,9.2625,236.110000610352,3,"AL","20531",""
"92","Luis Severino","15890","NYM","Mets",8.7988,9.0133,25.92,25.92,0,0,NA,146.813,630.368,142.795,75.2014,69.9364,22.1524,140.487,48.5144,NA,6.5943,4.28728,1.30308,8.61222,2.97406,2.89578,1.358,0.222865,0.076962,0.145903207361698,0.414095,0.248227,0.292382,0.724335,4.42887,1.62752,1.5666,NA,NA,NA,11.6481,264.190002441406,25,"NL","15890",""
