"","player_name","fangraphs_id","Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","InterSD","InterSK","IntraSD","ADP","Pos","minpos","teamid","League","playerids","."
"403","Roberto Pérez","2900","BOS","Red Sox",13,45,51,9,6,1,0,2,5,5,5,0,17,0,0,0,NA,0,0,0.208766,0.296822,0.346842,0.643665,0.286166,0.103114,0.323126,0.319115,0.138077,2.65062,0.289604,-0.0877137,NA,4.86887,-1.36955,0.591632,-0.133128,-0.220842,0.170163,-1.86431203782558,1.59163224697113,73.2108,NA,NA,NA,999,0,"C",3,"AL","2900",""
"404","Miles Mastrobuoni","20017","CHC","Cubs",13,49,56,13,9,2,0,1,7,5,6,0,12,0,0,0,NA,2,0,0.256383,0.333797,0.364059,0.697856,0.309708,0.102717,0.220928,0.464933,0.107676,5.93267,0.326318,0.00992571,NA,6.4202,-0.403074,-0.0223407,0.0405151,0.0504408,0.169562,-0.385178532451391,0.177659302949905,93.7209,NA,NA,NA,749.679992675781,0.07692308,"3B",17,"NL","20017",""
"405","Addison Barger","sa3006910","TOR","Blue Jays",13,50,56,12,8,3,0,2,7,7,5,0,14,1,0,0,NA,0,0,0.240195,0.311603,0.396903,0.708506,0.308107,0.0858248,0.249688,0.343728,0.156708,3.47245,0.298984,-0.00220736,NA,6.34574,-0.477529,0.2835,-0.119359,-0.121566,0.169067,-0.390053108334541,0.18350000679493,95.9987,NA,NA,NA,999,0,"3B/SS",14,"AL","sa3006910",""
"406","Mickey Moniak","19956","LAA","Angels",110,444,476,105,62,19,5,18,53,60,22,2,148,5,3,2,NA,7,3,0.235497,0.276668,0.423378,0.700046,0.297171,0.0464215,0.311721,0.14892,0.187881,5.57864,0.307239,0.10397,NA,49.6155,-8.38233,-1.36292,-0.637183,-0.533213,0.166988,-9.02956831455231,-5.46292293071747,85.1032,NA,NA,NA,416.070007324219,0,"OF",1,"AL","19956",""
"407","Lenyn Sosa","22896","CHW","White Sox",23,92,98,22,15,4,0,3,10,12,4,0,22,1,1,1,NA,0,0,0.242999,0.28038,0.395092,0.675472,0.290125,0.0448286,0.226518,0.197903,0.152093,2.77051,0.28491,-0.00981143,NA,9.64148,-2.29924,0.413532,-0.250662,-0.260474,0.166202,-2.47532868385315,0.81353223323822,81.138,NA,NA,NA,750.260009765625,0,"2B",4,"AL","22896",""
"408","Cristian Pache","19948","PHI","Phillies",50,194,217,44,30,9,1,5,24,22,19,0,60,1,1,2,NA,4,2,0.228072,0.299568,0.359388,0.658956,0.290469,0.0873759,0.275926,0.316665,0.131316,4.91174,0.303307,-0.0340374,NA,21.4111,-5.02907,2.18471,-0.538849,-0.572886,0.161928,-6.12910670042038,0.359709978103638,79.3319,NA,NA,NA,745.690002441406,0.0212766,"OF",26,"NL","19948",""
"409","Joey Wiemer","27690","MIL","Brewers",29,113,126,25,15,6,0,4,15,15,11,0,35,1,1,0,NA,3,1,0.22476,0.297543,0.392398,0.689941,0.299953,0.0842441,0.280091,0.300774,0.167638,4.86407,0.284619,-0.0291092,NA,13.4246,-1.92775,0.775456,0.00179622,-0.0273129,0.15995,-2.21428317576647,-0.474543690681458,85.9895,NA,NA,NA,578.799987792969,0,"OF",23,"NL","27690",""
"410","Jon Singleton","10441","HOU","Astros",49,178,210,38,22,8,1,7,24,24,29,1,60,1,2,1,NA,1,0,0.213132,0.323625,0.387923,0.711548,0.312956,0.138644,0.285348,0.485878,0.174791,2.82527,0.271773,-0.1313,NA,24.6422,-0.945039,0.0328313,-0.436625,-0.567925,0.159525,-0.865607798099518,-4.66716854646802,98.817,NA,NA,NA,748.280029296875,0.26923077,"1B",21,"AL","10441",""
"411","Joshua Palacios","19818","PIT","Pirates",16,63,70,17,11,3,0,2,8,9,5,0,14,1,0,0,NA,2,1,0.260912,0.32244,0.409298,0.731738,0.318802,0.0695741,0.193968,0.358689,0.148387,4.94884,0.302229,-0.000565323,NA,8.55391,0.0248201,0.122,-0.0586154,-0.0591807,0.157288,-0.279589030891657,-0.527999982237816,97.4584,NA,NA,NA,704.159973144531,0.03370787,"OF",27,"NL","19818",""
"412","Jason Delay","19806","PIT","Pirates",16,58,64,13,9,3,0,1,6,5,4,0,16,1,0,1,NA,0,0,0.225169,0.283164,0.325941,0.609105,0.269648,0.0640428,0.256673,0.249511,0.100772,3.85881,0.298681,-0.0313251,NA,5.20807,-2.58996,0.0172987,-0.124216,-0.155541,0.150037,-2.9697083979845,1.26729873940349,64.5063,NA,NA,NA,749.010009765625,0,"C",27,"NL","19806",""
