"","player_name","fangraphs_id","Team","ShortName","W","L","GS","G","SV","HLD","BS","IP","TBF","H","R","ER","HR","SO","BB","IBB","HBP","ERA","WHIP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","GB%","AVG","BABIP","LOB%","FIP","WAR","RA9-WAR","InterSD","InterSK","IntraSD","QS","ADP","teamid","League","playerids","."
"410","Dylan Floro","13394","WSN","Nationals",4,4,0,58,0,10,NA,58,252,60,31,29,8,50,20,NA,2,4.52705,1.38283,7.80094,3.10527,2.51216,1.21131,0.1993,0.0793341,0.119966067373753,NA,0.261001,0.303613,0.703824,4.38965,0.128909,0.0963558,NA,NA,NA,NA,744.640014648438,24,"NL","13394",""
"411","Xzavion Curry","25595","CLE","Guardians",3,4,5,49,0,1,NA,72,307,73,40,37,12,58,23,NA,2,4.67456,1.33461,7.23894,2.86094,2.53027,1.49794,0.187207,0.0739869,0.113219693303108,NA,0.257793,0.285985,0.706133,4.86761,0.127878,0.173851,NA,NA,NA,NA,747.119995117188,5,"AL","25595",""
"412","Pedro Avila","18864","SDP","Padres",3,3,3,43,0,1,NA,56,247,53,30,27,7,51,25,NA,4,4.35072,1.38464,8.18526,3.94682,2.07389,1.12339,0.208027,0.100308,0.107719048857689,NA,0.244749,0.290072,0.71157,4.57765,0.1273,0.0698011,NA,NA,NA,NA,744.039978027344,29,"NL","18864",""
"413","Tom Cosgrove","23443","SDP","Padres",2,2,0,56,0,9,NA,56,240,49,27,25,7,56,25,NA,4,4.08942,1.32271,9.04708,3.95164,2.28945,1.18259,0.234404,0.102384,0.13201966881752,NA,0.233556,0.284209,0.730423,4.46784,0.126559,0.147471,NA,NA,NA,NA,999,29,"NL","23443",""
"414","Davis Daniel","27582","LAA","Angels",2,2,3,20,0,1,NA,34,149,35,20,19,6,28,13,NA,2,4.87351,1.3975,7.24302,3.39092,2.13601,1.46166,0.185171,0.0866904,0.0984809398651123,NA,0.260705,0.291146,0.700729,5.0493,0.126222,0.0987272,NA,NA,NA,NA,750.27001953125,1,"AL","27582",""
"415","Matt Moore","1890","LAA","Angels",3,3,0,63,2,15,NA,63,272,59,33,31,9,65,27,NA,2,4.37022,1.36943,9.33921,3.92045,2.38218,1.32168,0.240458,0.10094,0.13951725512743,NA,0.243015,0.296064,0.73053,4.5073,0.123814,0.265488,NA,NA,NA,NA,713.580017089844,1,"AL","1890",""
"416","Joey Cantillo","sa3005246","CLE","Guardians",1,1,3,3,0,0,NA,17,75,16,9,8,2,17,8,NA,1,4.40577,1.40745,8.78283,4.31331,2.03622,1.26033,0.223047,0.10954,0.113507106900215,NA,0.241127,0.288333,0.726547,4.70104,0.12304,0.164298,NA,NA,NA,NA,999,5,"AL","sa3005246",""
"417","James Karinchak","20151","CLE","Guardians",3,2,0,48,0,4,NA,48,206,37,22,21,6,63,27,NA,2,3.9137,1.31879,11.7687,4.97658,2.36481,1.15593,0.305065,0.129002,0.176063403487206,NA,0.207266,0.282175,0.747244,4.08379,0.121095,0.147521,NA,NA,NA,NA,745.859985351562,5,"AL","20151",""
"418","Will Vest","19769","DET","Tigers",2,3,0,57,0,7,NA,57,244,53,26,24,6,59,21,NA,2,3.82915,1.28658,9.36848,3.25184,2.88097,0.998127,0.243469,0.0845092,0.158959589898586,NA,0.238668,0.298854,0.730106,3.8109,0.120451,0.119066,NA,NA,NA,NA,727.900024414062,6,"AL","19769",""
"419","Spencer Arrighetti","sa3017537","HOU","Astros",1,1,3,9,0,1,NA,24,104,22,13,12,3,23,10,NA,2,4.64213,1.37812,8.52604,3.96483,2.15042,1.31531,0.21695,0.100887,0.116062790155411,NA,0.242801,0.285919,0.703835,4.77549,0.119099,0.152,NA,NA,NA,NA,999,21,"AL","sa3017537",""
"420","Andre Pallante","26108","STL","Cardinals",3,2,0,60,1,11,NA,60,262,62,29,27,5,44,24,NA,2,4.01052,1.43016,6.55147,3.5752,1.83248,0.820658,0.167009,0.0911383,0.0758705288171768,NA,0.263186,0.303243,0.724887,4.28662,0.119005,0.280782,NA,NA,NA,NA,999,28,"NL","26108",""
"421","Carlos F. Rodriguez","sa3018116","MIL","Brewers",1,1,3,3,0,0,NA,17,74,16,10,9,3,16,7,NA,1,4.75496,1.37873,8.43137,3.85134,2.1892,1.439,0.213846,0.0976821,0.116163790225983,NA,0.244844,0.283828,0.702756,4.95247,0.118704,0.1086,NA,NA,NA,NA,999,23,"NL","sa3018116",""
"422","Nate Pearson","20160","TOR","Blue Jays",3,3,0,54,1,4,NA,54,233,46,27,25,7,60,26,NA,3,4.18614,1.34142,9.99752,4.32792,2.31,1.22458,0.257385,0.111422,0.145963296294212,NA,0.227266,0.285273,0.732257,4.3903,0.11761,0.0615165,NA,NA,NA,NA,710.330017089844,14,"AL","20160",""
