"","player_name","fangraphs_id","Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","InterSD","InterSK","IntraSD","ADP","Pos","minpos","teamid","League","playerids","."
"513","Jorge Barrosa","sa3005524",NA,NA,6,23,25,6,4,1,0,0,3,2,2,0,5,0,0,0,0,1,0,0.246862,0.311747,0.369472,0.681219,0.298801,0.0763718,0.193233,0.395231,0.12261,5.80957,0.295234,NA,NA,2.68351,-0.413156,0,0.0566874,0.0566874,0.0551183,-0.408725935965776,0.0958641916513443,85.2181,NA,NA,NA,999,0,"OF",NA,NA,"sa3005524",""
"514","Kyle Lewis","19508",NA,NA,18,62,69,15,10,3,0,2,8,8,6,0,19,1,0,0,1,0,0,0.238616,0.309997,0.402315,0.712312,0.310336,0.0877891,0.273814,0.320616,0.1637,2.57601,0.301287,NA,NA,7.90638,-0.458343,-0.41,-0.119764,-0.119764,0.0544869,-0.563265800476074,-1.22564813494682,94.6983,NA,NA,NA,999,0.78571429,"OF",-1,NA,"19508",""
"515","Logan Porter","20626","KCR","Royals",9,25,28,5,4,1,0,1,3,3,3,0,8,0,0,0,1,0,0,0.221551,0.300215,0.339499,0.639714,0.284384,0.0906323,0.272355,0.332772,0.117947,2.35352,0.293395,NA,NA,2.60857,-0.786615,0,-0.0481524,-0.0481524,0.0540113,-0.917017217725515,0.511923134326935,73.9768,NA,NA,NA,999,0,"C",7,"AL","20626",""
"516","Tim Locastro","15124",NA,NA,21,48,53,11,7,2,0,1,6,5,3,0,13,2,0,0,1,3,0,0.222695,0.291849,0.347126,0.638975,0.282967,0.0507342,0.252111,0.201238,0.124431,6.80724,0.283934,NA,NA,4.91697,-1.56416,0.15,0.210982,0.210982,0.053933,-1.10378088057041,-0.167021602392197,80.0482,NA,NA,NA,999,0.10810811,"OF",NA,NA,"15124",""
"517","Jacob Amaya","23296",NA,NA,10,35,39,8,6,2,0,1,4,4,3,0,9,0,0,0,1,0,0,0.229404,0.293671,0.340879,0.63455,0.280131,0.0797286,0.219837,0.362671,0.111475,3.87928,0.281862,NA,NA,3.51234,-1.23837,0.09,-0.0293326,-0.0293326,0.0538131,-1.35867100581527,0.570370376110077,72.479,NA,NA,NA,999,0,"2B/SS",NA,NA,"23296",""
"518","Ali Sánchez","18551","PIT","Pirates",8,26,28,6,4,1,0,1,3,3,2,0,6,0,0,0,1,0,0,0.237883,0.290662,0.344936,0.635598,0.278479,0.0652887,0.224343,0.291022,0.107053,2.84788,0.294028,NA,NA,2.52667,-0.9437,0.01,-0.0407276,-0.0407276,0.0528773,-1.0842075496912,0.644413599744439,70.427,NA,NA,NA,999,0,"C",27,"NL","18551",""
"519","Evan White","20078","LAA","Angels",12,45,49,11,7,2,0,2,6,6,4,0,13,0,0,0,1,1,0,0.242336,0.304123,0.426158,0.730282,0.314593,0.0739976,0.258028,0.286781,0.183822,4.07649,0.291607,NA,NA,5.85028,-0.154809,0.02,-0.0557392,-0.0557392,0.052798,-0.222354434430599,-0.922669749706984,97.1786,NA,NA,NA,999,0,"1B",1,"AL","20078",""
"520","Andy Pages","sa3005625",NA,NA,13,38,42,9,5,2,0,1,5,5,4,0,11,1,0,0,1,0,0,0.226619,0.304786,0.399926,0.704712,0.30434,0.0860524,0.266368,0.323058,0.173307,4.48147,0.282724,NA,NA,4.66592,-0.493572,0,-0.00318209,-0.00318209,0.05268,-0.447165470570326,-0.466765880584717,91.5366,NA,NA,NA,999,0,"OF",NA,NA,"sa3005625",""
"521","Raimel Tapia","14350",NA,NA,42,140,152,35,26,6,1,2,18,13,10,0,31,0,1,1,3,7,2,0.249602,0.300384,0.353373,0.653757,0.286998,0.0660895,0.206327,0.320314,0.103771,6.3665,0.305438,NA,NA,14.5711,-3.96407,0.41,0.389185,0.389185,0.0519004,-3.54199641942978,-1.11231991648674,78.7922,NA,NA,NA,999,0.01851852,"OF",-1,NA,"14350",""
"522","David Fry","24934","CLE","Guardians",36,98,108,23,15,5,0,3,11,13,7,0,26,2,1,0,2,0,0,0.237162,0.297009,0.392043,0.689053,0.299551,0.0659125,0.237576,0.277438,0.154882,3.06938,0.287968,NA,NA,11.4553,-1.68608,-1.07,-0.153227,-0.153227,0.0518455,-1.34473247826099,-1.79977583885193,90.7801,NA,NA,NA,741,0.03278689,"C/1B",5,"AL","24934",""
