"","player_name","fangraphs_id","Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","InterSD","InterSK","IntraSD","ADP","Pos","minpos","teamid","League","playerids","."
"454","Leo Jimenez","sa3006891",NA,NA,89,336,384,79,57,15,2,5,50,46,29,0,78,16,3,0,7,4,2,0.235119,0.322917,0.33631,0.659226,0.296658,0.0755208,0.203125,0.371795,0.10119,4.87335,0.289062,NA,NA,39.8623,-6.92591,-0.8,-0.830079,-0.830079,1.01283,-6.32256084680557,3.43280428647995,88.0627,NA,NA,NA,999,0,"2B/SS",NA,NA,"sa3006891",""
"455","Gabriel Arias","22563","CLE","Guardians",116,383,418,88,58,17,1,12,47,46,29,0,114,4,2,0,9,4,3,0.229765,0.289474,0.373368,0.662842,0.289556,0.069378,0.272727,0.254386,0.143603,3.53524,0.293436,NA,NA,40.9263,-10.0045,0.6,-1.1674,-1.1674,1.01256,-9.25517749786377,5.20758402347565,83.8519,NA,NA,NA,559.190002441406,0.01612903,"1B/SS",5,"AL","22563",""
"456","Daz Cameron","18353","OAK","Athletics",108,398,441,90,58,20,2,10,51,47,31,0,119,7,4,1,5,14,4,0.226131,0.290909,0.361809,0.652718,0.286127,0.0702948,0.269841,0.260504,0.135678,5.79045,0.29304,NA,NA,41.9226,-11.8106,1.6,0.371996,0.371996,1.00962,-8.0788716673851,3.22037041187286,84.007,NA,NA,NA,999,0,"OF",10,"AL","18353",""
"457","Forrest Wall","16496","ATL","Braves",104,380,421,92,67,16,4,5,54,45,34,0,117,4,2,1,4,33,7,0.242105,0.309524,0.344737,0.654261,0.290216,0.0807601,0.27791,0.290598,0.102632,7.81178,0.334615,NA,NA,41.451,-9.84542,2.7,2.83642,2.83642,1.00642,-8.4929575920105,4.24688422679901,78.2777,NA,NA,NA,718.919982910156,0.25,"DH/OF",16,"NL","16496",""
"458","Daniel Schneemann","sa3006936","CLE","Guardians",110,394,438,90,64,18,1,7,47,41,37,0,109,2,3,2,7,10,2,0.228426,0.295872,0.332487,0.628359,0.279055,0.0844749,0.248858,0.33945,0.104061,4.75162,0.295374,NA,NA,39.0648,-14.303,5.5,0.362216,0.362216,1.00301,-11.9322698414326,7.10934746265411,76.5737,NA,NA,NA,999,0,"3B/SS",5,"AL","sa3006936",""
"459","Yonathan Perlaza","sa917302",NA,NA,120,468,520,112,67,28,2,15,65,66,47,1,135,3,2,0,5,7,4,0.239316,0.311538,0.403846,0.715385,0.310875,0.0903846,0.259615,0.348148,0.16453,4.46703,0.303125,NA,NA,60.12,-3.23894,2.8,-1.18211,-1.18211,1.0027,-4.72325253486633,-2.93192267417908,94.503,NA,NA,NA,999,0,"OF",-1,NA,"sa917302",""
"460","Seth Brown","18171","OAK","Athletics",124,383,420,88,47,20,2,19,48,57,33,2,115,2,2,0,5,4,1,0.229765,0.292857,0.441253,0.73411,0.312428,0.0785714,0.27381,0.286957,0.211488,4.37563,0.2749,NA,NA,49.1004,-2.07419,-0.5,-0.238488,-0.238488,0.999901,0.887110620737076,-5.12962961196899,102.237,NA,NA,NA,479.339996337891,0.15517241,"1B/OF",10,"AL","18171",""
"461","Dominic Fletcher","26149","CHW","White Sox",107,431,477,103,72,19,3,9,59,53,33,1,114,7,4,2,6,3,4,0.238979,0.301053,0.359629,0.660681,0.289596,0.0691824,0.238994,0.289474,0.12065,4.15063,0.301282,NA,NA,46.719,-11.4007,5,-1.94358,-1.94358,0.999726,-12.9335434436798,6.75264549255371,80.7715,NA,NA,NA,601.849975585938,0,"OF",4,"AL","26149",""
"462","David Hensley","25111","HOU","Astros",103,374,424,85,56,19,3,7,51,41,47,0,126,1,2,0,9,7,3,0.227273,0.313679,0.350267,0.663947,0.295335,0.110849,0.29717,0.373016,0.122995,5.23866,0.320988,NA,NA,43.549,-8.11291,1.5,-0.667567,-0.667567,0.996202,-7.47342985868454,3.05790710449219,86.6037,NA,NA,NA,999,0.39285714,"2B/DH",21,"AL","25111",""
"463","Wynton Bernard","13408","CHW","White Sox",115,439,475,103,74,19,2,8,61,48,31,0,103,3,2,0,10,21,4,0.234624,0.288421,0.341686,0.630107,0.277601,0.0652632,0.216842,0.300971,0.107062,6.57339,0.287879,NA,NA,41.7913,-16.0846,6.1,1.67953,1.67953,0.995954,-13.9960731267929,7.84529674053192,72.4578,NA,NA,NA,999,0.07692308,"OF",4,"AL","13408",""
