"","player_name","fangraphs_id","Team","ShortName","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","OPS","wOBA","BB%","K%","BB/K","ISO","Spd","BABIP","UBR","GDPRuns","wRC","wRAA","UZR","wBsR","BaseRunning","WAR","Off","Def","wRC+","InterSD","InterSK","IntraSD","ADP","Pos","minpos","teamid","League","playerids","."
"34","Matt Chapman","16505","SFG","Giants",144,540,623,130,74,29,3,24,79,70,70,1,172,8,5,0,NA,3,2,0.241036,0.333333,0.438247,0.77158,0.333725,0.112263,0.276339,0.40625,0.197211,3.76592,0.304615,0,NA,83.8513,7.94237,7.66915,-1.4234,-1.4234,3.9309,8.30756485462189,9.89414882659912,112.608,NA,NA,NA,271.269989013672,0.01438849,"3B",30,"NL","16505",""
"35","Ha-Seong Kim","27506","SDP","Padres",141,533,609,131,89,26,2,14,69,63,61,1,118,6,4,4,NA,26,6,0.245833,0.327206,0.383333,0.710539,0.312356,0.100365,0.193431,0.518868,0.1375,5.40757,0.287671,0,NA,71.1589,-3.04423,10.5705,1.57651,1.57651,3.90145,1.38768437504768,16.9954996109009,99.7497,NA,NA,NA,89.1900024414062,0.00628931,"2B/SS",29,"NL","27506",""
"36","Rafael Devers","17350","BOS","Red Sox",154,595,665,167,93,39,1,34,96,109,59,9,128,8,3,0,NA,4,2,0.279863,0.351145,0.517065,0.86821,0.36543,0.0885496,0.192366,0.460317,0.237201,3.30601,0.304651,0,NA,107.014,25.9878,-5.90874,-1.21042,-1.21042,3.87701,21.219722032547,-4.93373715877533,128.15,NA,NA,NA,24.0300006866455,0.01298701,"3B",3,"AL","17350",""
"37","Nolan Arenado","9777","STL","Cardinals",156,610,672,164,100,38,1,24,71,100,51,5,99,6,6,0,NA,3,2,0.268431,0.327616,0.453686,0.781302,0.33324,0.0754717,0.147513,0.511628,0.185255,2.63177,0.283372,0,NA,90.1755,8.2962,6.35413,-1.45377,-1.45377,3.87265,7.59451508522034,8.35412967205048,110.869,NA,NA,NA,103.209999084473,0.1048951,"3B",28,"NL","9777",""
"38","Matt Olson","14344","ATL","Braves",157,580,679,151,80,32,1,38,98,119,88,7,150,5,5,0,NA,1,1,0.260177,0.36006,0.515044,0.875105,0.369604,0.130106,0.220877,0.589041,0.254867,2.33529,0.284238,0,NA,111.621,28.889,2.06763,-1.51035,-1.51035,3.79464,24.9853370189667,-10.057368516922,131.498,NA,NA,NA,17.3400001525879,0,"1B",16,"NL","14344",""
"39","Carlos Correa","14162","MIN","Twins",138,528,595,139,87,29,1,21,72,74,59,2,124,4,4,0,NA,0,1,0.262452,0.338435,0.442529,0.780964,0.337025,0.0986395,0.209184,0.471545,0.180077,1.9686,0.303665,0,NA,81.7134,9.21609,3.38791,-1.56544,-1.56544,3.79194,9.79825496673584,8.01291298866272,115.939,NA,NA,NA,243.419998168945,0,"SS",8,"AL","14162",""
"40","Ketel Marte","13613","ARI","Diamondbacks",151,578,651,161,96,39,4,21,86,81,63,2,110,6,4,0,NA,7,1,0.27907,0.35284,0.472868,0.825708,0.354045,0.0963855,0.168675,0.571429,0.193798,4.65224,0.310174,0,NA,98.6059,19.2853,-3.72482,-0.380203,-0.380203,3.76324,17.5665380358696,-1.9998174905777,122.253,NA,NA,NA,118.529998779297,0.03267974,"2B/SS",15,"NL","13613",""
"41","Gabriel Moreno","22664","ARI","Diamondbacks",130,466,515,129,93,24,1,11,54,61,37,0,96,6,6,0,NA,6,1,0.276786,0.334232,0.404762,0.738994,0.322288,0.0727763,0.185984,0.391304,0.127976,3.56689,0.323194,0,NA,64.4236,1.67385,11.5301,-0.523579,-0.523579,3.75554,0.0913546681404114,20.0301027297974,100.964,NA,NA,NA,153.600006103516,0,"C",15,"NL","22664",""
"42","Gleyber Torres","16997","NYY","Yankees",149,573,644,156,101,29,1,25,81,81,61,1,111,3,5,1,NA,11,5,0.271429,0.342357,0.453571,0.795928,0.343062,0.0953895,0.171701,0.555556,0.182143,3.86681,0.295612,0,NA,91.6716,13.2039,-1.76495,-1.17836,-1.17836,3.72533,14.9433789253235,0.53505265712738,120.893,NA,NA,NA,83.2399978637695,0.07643312,"2B/SS",9,"AL","16997",""
"43","Shohei Ohtani","19755","LAD","Dodgers",151,559,651,145,71,29,5,40,96,129,85,18,158,4,3,0,NA,18,7,0.25947,0.35935,0.545455,0.904804,0.373675,0.130081,0.242276,0.536913,0.285985,5.63836,0.287791,0,NA,109.219,29.8984,0,-0.621396,-0.621396,3.58351,30.0393363237381,-16.2749996185303,138.017,NA,NA,NA,12.3500003814697,0.85350318,"DH",22,"NL","19755",""
"44","Sean Murphy","19352","ATL","Braves",105,362,420,92,50,22,1,19,55,62,42,1,96,12,3,0,NA,0,1,0.253588,0.349174,0.476077,0.82525,0.355088,0.10124,0.229339,0.441441,0.222488,2.19395,0.291667,0,NA,63.9197,12.7939,5.00657,-1.1675,-1.1675,3.5669,10.1473565101624,11.3315711021423,121.767,NA,NA,NA,141.660003662109,0.04672897,"C",16,"NL","19352",""
"45","Trevor Story","12564","BOS","Red Sox",146,567,630,139,78,35,3,23,83,83,51,3,179,8,5,0,NA,23,5,0.245946,0.313869,0.440541,0.754409,0.322783,0.080292,0.284672,0.282051,0.194595,6.25544,0.315353,0,NA,79.0681,2.30629,7.26055,1.63006,1.63006,3.51317,0.565892457962036,13.2605452537537,98.5903,NA,NA,NA,180.149993896484,0.13953488,"SS",3,"AL","12564",""
"46","Jonah Heim","16930","TEX","Rangers",131,478,523,119,72,26,2,19,58,71,41,1,97,1,2,0,NA,2,1,0.248175,0.30735,0.428224,0.735574,0.316228,0.077951,0.184855,0.421687,0.180049,3.33565,0.273885,0,NA,62.7439,-0.931856,11.1036,-0.895607,-0.895607,3.45224,-2.26426732540131,19.1286392211914,97.8143,NA,NA,NA,172.130004882812,0.05343511,"C",13,"AL","16930",""
"47","Xander Bogaerts","12161","SDP","Padres",147,567,637,156,107,31,1,17,82,70,58,1,115,6,6,0,NA,12,1,0.27518,0.3456,0.42446,0.77006,0.334847,0.0912,0.1808,0.504425,0.149281,4.65377,0.314815,0,NA,86.3289,8.71415,-0.26449,0.704437,0.704437,3.42144,12.4052786231041,0.210510224103928,114.827,NA,NA,NA,105.610000610352,0.05806452,"SS",29,"NL","12161",""
